Age,nx,Birth rate (bx),qx,sx,lx,nx,nt+1,nt+2,nt+3,nt+4,nt+5,nt+6,nt+7,nt+8,nt+9,nt+10,nt+11,nt+12,nt+13,nt+14,nt+15,nt+16,nt+17,nt+18,nt+19,nt+20,nt+21,nt+22,nt+23,nt+24,nt+25
0,221,0,0.11,0.2,0.2,221,2099,674,1660,1214,1507,1475,1565,1629,1693,1770,1840,1920,2000,2085,2173,2264,2360,2460,2563,2671,2784,2901,3024,3151,3284
1,197,12,0.01,0.3,0.06,197,44,420,135,332,243,301,295,313,326,339,354,368,384,400,417,435,453,472,492,513,534,557,580,605,630
2,195,14,0.05,0.4,0.02,195,59,13,126,40,100,73,90,88,94,98,102,106,110,115,120,125,130,136,142,148,154,160,167,174,181
3,186,8,1,0.2,0,186,78,24,5,50,16,40,29,36,35,38,39,41,42,44,46,48,50,52,54,57,59,62,64,67,70
4,0,0,#DIV/0!,0.2,0,0,37,16,5,1,10,3,8,6,7,7,8,8,8,8,9,9,10,10,10,11,11,12,12,13,13
5,0,0,#DIV/0!,0.2,0,0,0,7,3,1,0,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3
6,0,0,#DIV/0!,0.2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,#DIV/0!,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,#DIV/0!,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,#DIV/0!,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,#DIV/0!,#DIV/0!,#DIV/0!,799,2317,1154,1936,1640,1876,1894,1989,2075,2157,2252,2344,2445,2547,2655,2767,2884,3005,3132,3264,3402,3545,3695,3851,4013,4182
,799,,,,lambda,,2.9,0.498,1.677,0.847,1.144,1.413,1.116,1.24,1.152,1.213,1.227,1.189,1.204,1.197,1.206,1.205,1.2,1.202,1.202,1.203,1.203,1.202,1.203,1.203,1.203
,,,,,r,,1.065,-0.697,0.517,-0.166,0.135,0.171,-0.008,0.13,0.052,0.096,0.088,0.072,0.088,0.079,0.084,0.082,0.081,0.083,0.082,0.082,0.082,0.082,0.082,0.082,0.082
